name,repository_url
zhangliangming/HappyPlayer5,https://github.com/zhangliangming/HappyPlayer5
WinWang/HarmoneyOpenEye,https://github.com/WinWang/HarmoneyOpenEye
antgroup/FluidMarkdown,https://github.com/antgroup/FluidMarkdown
harmoninux/HiSH,https://github.com/harmoninux/HiSH
HarmonyOS-Next/interview-handbook-project,https://github.com/HarmonyOS-Next/interview-handbook-project
linwu-hi/open_neteasy_cloud,https://github.com/linwu-hi/open_neteasy_cloud
yunkss/ef-tool,https://gitee.com/yunkss/ef-tool
CPF-ApplicationTPC/ohos_axios,https://gitcode.com/CPF-ApplicationTPC/ohos_axios
awaLiny2333/LinysBrowser_NEXT,https://github.com/awaLiny2333/LinysBrowser_NEXT
sskEvan/NCMusicHarmony,https://github.com/sskEvan/NCMusicHarmony
wangchenyan/wan-harmony,https://github.com/wangchenyan/wan-harmony
CPF-ApplicationTPC/ImageKnife,https://gitcode.com/CPF-ApplicationTPC/ImageKnife
Chenlvin/Melotopia-HMOS,https://github.com/Chenlvin/Melotopia-HMOS
ibestservices/ibest-ui,https://github.com/ibestservices/ibest-ui
751496032/DSBridge-HarmonyOS,https://github.com/751496032/DSBridge-HarmonyOS
Gramony/Gramony,https://github.com/Gramony/Gramony
Chenlvin/CloudMusic-HarmonyOSNext,https://github.com/Chenlvin/CloudMusic-HarmonyOSNext
shuhongfan/HarmonyOS,https://github.com/shuhongfan/HarmonyOS
openharmony-tpc/ohos_mpchart,https://gitee.com/openharmony-tpc/ohos_mpchart
HomoArk/Homogram,https://github.com/HomoArk/Homogram
J-Design/ArkUI_Component,https://gitee.com/J-Design/ArkUI_Component
banggx/account_app_harmonyos,https://github.com/banggx/account_app_harmonyos
langwudong/browser,https://github.com/langwudong/browser
CPF-ApplicationTPC/httpclient,https://gitcode.com/CPF-ApplicationTPC/httpclient
SolidFaker/ohtotptoken,https://github.com/SolidFaker/ohtotptoken
787107497/harmony-utils,https://github.com/787107497/harmony-utils
likuai2010/moonlight-harmonyos,https://github.com/likuai2010/moonlight-harmonyos
openharmony-sig/ohrouter,https://gitcode.com/openharmony-sig/ohrouter
HuolalaTech/AspectPro,https://github.com/HuolalaTech/AspectPro
xdd666t/ohos_smart_dialog,https://github.com/xdd666t/ohos_smart_dialog
openharmony-tpc/lottieArkTS,https://gitee.com/openharmony-tpc/lottieArkTS
AbnerMing888/HarmonyOsNet,https://github.com/AbnerMing888/HarmonyOsNet
Luxcis/PicACG_Next,https://github.com/Luxcis/PicACG_Next
youfrweb/harmonyProject,https://github.com/youfrweb/harmonyProject
wuba/omni-ui,https://github.com/wuba/omni-ui
liyufengrex/HarmonyAtomicService,https://github.com/liyufengrex/HarmonyAtomicService
Z-P-J/AnimeZ,https://github.com/Z-P-J/AnimeZ
shanyan-wcx/Harmonic,https://github.com/shanyan-wcx/Harmonic
asasugar/HPRichText,https://github.com/asasugar/HPRichText
kidGuo/WeChatUI_ArkUI,https://github.com/kidGuo/WeChatUI_ArkUI
HuolalaTech/hll-wp-therouter-harmony,https://github.com/HuolalaTech/hll-wp-therouter-harmony
wuyuanwuhui99/Harmony-arkts-movie-music-app-ui,https://github.com/wuyuanwuhui99/Harmony-arkts-movie-music-app-ui
Yuan-Mr/mcCharts,https://github.com/Yuan-Mr/mcCharts
LongLiveY96/chatcube,https://github.com/LongLiveY96/chatcube
bytedance/rdbStore,https://github.com/bytedance/rdbStore
zqf-dev/WAndroidHOS,https://github.com/zqf-dev/WAndroidHOS
751496032/ZRouter,https://github.com/751496032/ZRouter
Joker-x-dev/CoolMallArkTS,https://github.com/Joker-x-dev/CoolMallArkTS
yongoe1024/Rental,https://github.com/yongoe1024/Rental
ChangweiZhang/ChatUI,https://gitee.com/ChangweiZhang/ChatUI
hefengbao/jingmo-for-HarmonyOS,https://github.com/hefengbao/jingmo-for-HarmonyOS
iamhyc/Aigis,https://github.com/iamhyc/Aigis
siyuan-note/siyuan-harmony,https://github.com/siyuan-note/siyuan-harmony
XHXYT/Web-Telegram-for-OpenHarmony,https://github.com/XHXYT/Web-Telegram-for-OpenHarmony
OHPG/FinVideo,https://github.com/OHPG/FinVideo
awaLiny2333/STUFFS_NEXT,https://github.com/awaLiny2333/STUFFS_NEXT
larksuite/rich-text-vista,https://github.com/larksuite/rich-text-vista
AbnerMing888/HarmonyOsDialog,https://github.com/AbnerMing888/HarmonyOsDialog
eternaljust/Msea_HarmonyOS,https://github.com/eternaljust/Msea_HarmonyOS
ibestservices/ibest-ui-v2,https://github.com/ibestservices/ibest-ui-v2
hi-dhl/HarmonyPractice,https://github.com/hi-dhl/HarmonyPractice
iHongRen/SandboxFinder,https://github.com/iHongRen/SandboxFinder
ohosvscode/ohos_electron_hap,https://github.com/ohosvscode/ohos_electron_hap
aimilin6688/KeePassHO,https://github.com/aimilin6688/KeePassHO
softfatgay/harmony-netease,https://github.com/softfatgay/harmony-netease
SolidFaker/V2rayOH,https://github.com/SolidFaker/V2rayOH
CPF-ApplicationTPC/ohos_mqtt,https://gitcode.com/CPF-ApplicationTPC/ohos_mqtt
dloong49/wallpaper-app,https://github.com/dloong49/wallpaper-app
zhengzaihong/rxnet,https://github.com/zhengzaihong/rxnet
monalichao/OpenArk,https://github.com/monalichao/OpenArk
JackJiang2011/harmonychat,https://github.com/JackJiang2011/harmonychat
DaLongZhuaZi/manxia,https://github.com/DaLongZhuaZi/manxia
seagazer/ccplayer,https://github.com/seagazer/ccplayer
MarsToken/NovaHook,https://github.com/MarsToken/NovaHook
Amaz1ny/HarmonyDO-public,https://github.com/Amaz1ny/HarmonyDO-public
JasonYinH/ExploreHarmonyNext,https://github.com/JasonYinH/ExploreHarmonyNext
gracienewd/openharmony-App-YunmoAi,https://github.com/gracienewd/openharmony-App-YunmoAi
HarmonyCandies/image_cropper,https://github.com/HarmonyCandies/image_cropper
wildfirechat/hm-chat,https://github.com/wildfirechat/hm-chat
shanyan-wcx/Harmshelf,https://github.com/shanyan-wcx/Harmshelf
ForestBook/TelegramHarmony,https://github.com/ForestBook/TelegramHarmony
yabi-zzh/simple-live-ohos,https://github.com/yabi-zzh/simple-live-ohos
jiuxuanzhi/HarmonyOS-mall,https://github.com/jiuxuanzhi/HarmonyOS-mall
wly5556/S1-Orange,https://github.com/wly5556/S1-Orange
Actrlq/Harflix,https://github.com/Actrlq/Harflix
PGzxc/WanAndroidHM,https://github.com/PGzxc/WanAndroidHM
Joker-x-dev/HarmonyKit,https://github.com/Joker-x-dev/HarmonyKit
ByteRax/HarmonyUtilCode,https://github.com/ByteRax/HarmonyUtilCode
mistrainn/harmonyTarget,https://github.com/mistrainn/harmonyTarget
collaborative-creation/etohos,https://github.com/collaborative-creation/etohos
Charles-Stark/Youtube-Music-ArkTS-Clone,https://github.com/Charles-Stark/Youtube-Music-ArkTS-Clone
westinyang/F-OH,https://github.com/westinyang/F-OH
YShelter/Accouting_ArkTS,https://github.com/YShelter/Accouting_ArkTS
moodyhunter/Hv2ray,https://github.com/moodyhunter/Hv2ray
Your-USTC/DailyNic_HMOS,https://github.com/Your-USTC/DailyNic_HMOS
openharmony-sig/homecheck,https://gitcode.com/openharmony-sig/homecheck
openharmony-sig/ohos_live_event_bus,https://gitee.com/openharmony-sig/ohos_live_event_bus
AbnerMing888/HarmonyOsLog,https://github.com/AbnerMing888/HarmonyOsLog
HarmonyCandies/loading_more_list,https://github.com/HarmonyCandies/loading_more_list
HarmonyCandies/pull_to_refresh,https://github.com/HarmonyCandies/pull_to_refresh
